City_ID,City,Country,Lat,Lng,Max Temp(F),Humidity(%),Cloudiness(%),Wind Speed(mph),Current Description
79,Ribeira Grande,PT,38.5167,-28.7,63.0,94,75,0.0,light intensity drizzle
80,Alta Floresta,BR,-9.8756,-56.0861,85.82,30,0,3.44,clear sky
81,Bowen,AU,-20.0167,148.2333,70.72,81,75,14.0,broken clouds
82,Albany,US,42.6001,-73.9662,78.62,56,36,4.0,scattered clouds
83,Mahebourg,MU,-20.4081,57.7,76.24,83,75,9.22,broken clouds
84,Tombouctou,ML,20.0,-3.0,102.9,6,43,13.94,scattered clouds
85,Pontian Kecil,MY,1.4801,103.3899,77.32,82,58,2.19,broken clouds
86,Tianpeng,CN,30.9866,103.9393,72.07,71,97,3.69,overcast clouds
87,Ahuimanu,US,21.4447,-157.8378,76.86,94,96,1.01,moderate rain
88,Belyy Yar,RU,53.6039,91.3903,57.09,82,0,2.24,clear sky
89,Yershov,RU,51.3513,48.2766,45.28,72,76,12.86,broken clouds
90,Corsicana,US,32.0954,-96.4689,89.17,62,57,11.01,broken clouds
91,Jamestown,US,42.097,-79.2353,71.24,79,100,18.41,overcast clouds
92,Zaraza,VE,9.3503,-65.3245,99.14,25,0,7.81,clear sky
93,Bluff,NZ,-46.6,168.3333,46.8,75,89,31.32,overcast clouds
94,Bengkulu,ID,-3.8004,102.2655,76.21,87,26,3.67,scattered clouds
95,Broome,US,42.2506,-75.833,80.47,58,58,11.01,broken clouds
96,Chuy,UY,-33.6971,-53.4616,61.63,51,3,8.59,clear sky
97,Khatanga,RU,71.9667,102.5,27.77,88,83,9.93,broken clouds
98,Rawson,AR,-43.3002,-65.1023,67.42,38,71,23.15,broken clouds
99,Severo-Kurilsk,RU,50.6789,156.125,42.57,90,99,7.49,overcast clouds
100,Dikson,RU,73.5069,80.5464,28.98,81,100,3.15,overcast clouds
101,Ust-Kulom,RU,61.6864,53.6902,37.67,80,100,4.54,overcast clouds
102,Khandyga,RU,62.6667,135.6,35.11,83,90,2.28,overcast clouds
103,Yellowknife,CA,62.456,-114.3525,55.92,22,75,0.0,broken clouds
104,Qaanaaq,GL,77.484,-69.3632,18.43,71,15,2.93,few clouds
105,Beringovskiy,RU,63.05,179.3167,33.55,91,95,2.89,overcast clouds
106,Clyde River,CA,70.4692,-68.5914,25.03,86,100,11.5,overcast clouds
107,Sistranda,NO,63.7256,8.834,60.76,84,97,14.92,overcast clouds
108,Lagoa,PT,39.05,-27.9833,61.54,89,100,16.17,light rain
109,Sept-Iles,CA,50.2001,-66.3821,55.92,54,75,6.91,broken clouds
110,Bredasdorp,ZA,-34.5322,20.0403,52.79,73,51,3.11,broken clouds
111,Gimli,CA,50.6336,-96.9907,37.42,70,100,19.57,overcast clouds
112,Katsuura,JP,35.1333,140.3,66.7,78,100,12.33,overcast clouds
113,Bethel,US,41.3712,-73.414,67.51,56,76,10.25,broken clouds
114,Kaitangata,NZ,-46.2817,169.8464,45.81,80,98,19.53,overcast clouds
115,Pinawa,CA,50.1489,-95.8811,36.07,98,100,14.14,overcast clouds
116,Castelo Do Piaui,BR,-5.3222,-41.5525,79.97,83,78,5.06,broken clouds
117,Kahului,US,20.8947,-156.47,77.97,83,78,1.28,broken clouds
118,Jaten,ID,-7.5772,110.8975,75.25,94,99,2.91,light rain
119,Hay River,CA,60.8156,-115.7999,49.98,43,40,5.75,scattered clouds
120,Samaniego,CO,1.3385,-77.5957,73.11,69,93,5.53,light rain
121,Tual,ID,-5.6667,132.75,83.57,69,49,17.52,scattered clouds
122,Porto-Vecchio,FR,41.591,9.2795,74.86,57,0,8.05,clear sky
123,Atbasar,KZ,51.8,68.3333,58.1,66,57,8.95,broken clouds
