City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Broome,US,2022-05-14 19:49:37,42.2506,-75.833,79.68,66,75,3.0
68,Pappadatai,GR,2022-05-14 19:49:38,39.3133,20.7925,64.44,92,96,2.64
69,Barcelos,PT,2022-05-14 19:49:38,41.5388,-8.6151,71.85,72,87,6.89
70,Inhambane,MZ,2022-05-14 19:49:38,-23.865,35.3833,64.38,94,20,3.44
71,Ventspils,LV,2022-05-14 19:49:39,57.3894,21.5606,48.13,93,75,8.05
72,Kununurra,AU,2022-05-14 19:49:39,-15.7667,128.7333,71.58,88,0,0.0
73,Brandon,US,2022-05-14 19:48:18,27.9378,-82.2859,91.29,59,0,3.0
74,Kolokani,ML,2022-05-14 19:49:40,13.5728,-8.0339,92.21,7,82,9.15
75,Gat,IL,2022-05-14 19:46:01,31.61,34.7642,84.4,41,49,5.37
76,Bakaly,RU,2022-05-14 19:49:41,55.1789,53.8028,49.37,86,100,9.15
77,Diego De Almagro,CL,2022-05-14 19:49:41,-26.3667,-70.05,75.43,17,0,9.04
78,Georgetown,MY,2022-05-14 19:47:26,5.4112,100.3354,85.95,81,20,4.61
79,Kimbe,PG,2022-05-14 19:49:42,-5.5502,150.1429,75.85,92,92,3.22
80,Naustdal,NO,2022-05-14 19:49:43,61.509,5.7168,48.79,97,100,1.14
81,Mar Del Plata,AR,2022-05-14 19:49:10,-38.0023,-57.5575,60.82,59,0,13.8
82,Vila Velha,BR,2022-05-14 19:45:50,-20.3297,-40.2925,78.75,69,40,10.36
83,Asfi,MA,2022-05-14 19:49:43,32.2994,-9.2372,65.34,87,32,3.96
84,Poum,NC,2022-05-14 19:49:44,-20.2333,164.0167,76.64,78,90,17.72
85,Half Moon Bay,US,2022-05-14 19:49:45,37.4636,-122.4286,85.41,63,20,12.66
86,Sinop,TR,2022-05-14 19:49:45,41.7711,34.8709,56.23,73,91,3.83
87,Airai,TL,2022-05-14 19:49:46,-8.9266,125.4092,61.45,96,74,0.54
88,Saint-Philippe,RE,2022-05-14 19:49:46,-21.3585,55.7679,71.19,78,65,9.1
89,Hirara,JP,2022-05-14 19:49:47,24.8,125.2833,78.67,86,100,17.34
90,Dikson,RU,2022-05-14 19:49:48,73.5069,80.5464,29.61,93,100,8.08
91,Thompson,CA,2022-05-14 19:48:57,55.7435,-97.8558,42.96,100,100,10.36
92,Isangel,VU,2022-05-14 19:49:49,-19.55,169.2667,73.8,73,100,11.9
93,Lahaina,US,2022-05-14 19:49:49,20.8783,-156.6825,80.94,75,16,7.05
