City_ID,City,Country,Max Temp(F),Current Description,Lat,Lng,Hotel Name
379,Cruzeiro Do Sul,BR,66.52,clear sky,-29.5128,-51.9853,Estrela Palace Hotel
402,Tadine,NC,74.71,light rain,-21.55,167.8833,
403,Campina Verde,BR,71.92,clear sky,-19.5356,-49.4864,Hotel Lino
405,Marawi,PH,69.08,broken clouds,7.9986,124.2928,Derogongan Residence
407,Norton,ZW,65.71,broken clouds,-17.8833,30.7,Chingwara Mansion
408,Beloha,MG,70.43,clear sky,-25.1667,45.05,
410,Naze,JP,71.24,overcast clouds,28.3667,129.4833,Shishime Hotel
417,Moyo,UG,69.87,overcast clouds,3.6609,31.7247,Amelia Guest House
427,Lashio,MM,68.95,broken clouds,22.9333,97.75,Hotel CF Lashio - Burmese Only
428,Kloulklubed,PW,73.9,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
437,Salinas,US,72.99,haze,36.6777,-121.6555,Laurel Inn & Conference Center
440,Alto Araguaia,BR,72.81,clear sky,-17.3147,-53.2153,Araguaia Palace Hotel
448,Rosarito,MX,67.41,overcast clouds,32.3333,-117.0333,Hotel Festival Plaza Rosarito
451,Zabol,AF,69.69,clear sky,32.25,67.25,
455,Yarmouth,US,71.15,broken clouds,41.7057,-70.2286,Blue Rock Resort
462,Santander,ES,67.3,overcast clouds,43.4647,-3.8044,Abba Santander Hotel
470,Laguna,US,73.09,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
472,Port Keats,AU,74.89,clear sky,-14.25,129.55,TDC Village (Hundred Man Camp)
474,Ambilobe,MG,73.17,overcast clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
479,Caravelas,BR,74.23,few clouds,-17.7125,-39.2481,Pousada dos Navegantes
480,Paita,PE,73.06,broken clouds,-5.0892,-81.1144,Hotel Náutico de Paita
492,Ledyard,US,74.05,few clouds,41.4398,-72.0142,Stonecroft Country Inn
496,Aguimes,ES,72.23,scattered clouds,27.9054,-15.4461,Hotel Villa de Aguimes
497,Bereda,ES,68.41,scattered clouds,43.2686,-7.5406,Pazo de Verdes
498,Semey,KZ,65.73,few clouds,50.4111,80.2275,Grand Hotel Semey
522,Capinopolis,BR,72.41,clear sky,-18.6819,-49.5697,Tropical Hotel Capinópolis
529,Pouembout,NC,72.93,clear sky,-21.1333,164.9,Camping de Tipenga
530,Kikwit,CD,74.48,overcast clouds,-5.041,18.8162,HOTEL PLACE YALABA
534,Ryki,PL,65.37,scattered clouds,51.6257,21.9327,Pokoje Pracownicze Ryki
535,Luanda,AO,73.94,broken clouds,-8.8368,13.2343,EPIC SANA Luanda
550,Bardiyah,LY,65.25,clear sky,31.7561,25.0865,بورتو بردية
555,Porterville,US,72.72,clear sky,36.0652,-119.0168,"Holiday Inn Express & Suites Porterville, an IHG Hotel"
559,Obo,CF,67.95,light rain,5.3998,26.4869,
562,Gondar,ET,70.29,overcast clouds,12.6,37.4667,L Shape Hotel
567,Mercedes,AR,66.85,scattered clouds,-34.6515,-59.4307,Posada del Inti Centro
571,Cefalu,IT,70.54,clear sky,38.0386,14.0229,Hotel La Giara
578,Sembe,CG,72.37,heavy intensity rain,1.6481,14.5806,
595,Kamenz,DE,73.69,light rain,51.268,14.0937,Ferienapartment am Klostertor
599,Hualmay,PE,69.33,broken clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
604,Alenquer,BR,73.47,moderate rain,-1.9417,-54.7383,Detinha Hotel
611,Zlitan,LY,66.7,clear sky,32.4674,14.5687,القسم الداخلي للجامعة الأسمرية
612,Kaabong,UG,72.28,overcast clouds,3.4836,34.1492,Rock Motel Ltd
616,Never,FR,73.15,overcast clouds,46.9896,3.159,Hôtel Kyriad Nevers Centre
617,Kindu,CD,73.81,overcast clouds,-2.95,25.95,Résidence Okanda
618,Calama,CL,72.09,clear sky,-22.4667,-68.9333,Park Hotel Calama
619,Sapatgram,IN,72.34,clear sky,26.3334,90.109,Skrl aji cabin
629,Chegutu,ZW,65.75,scattered clouds,-18.1302,30.1407,Jacaranda Lodge
640,Yumen,CN,66.88,clear sky,40.2833,97.2,
645,Tura,IN,71.17,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
660,Itupeva,BR,65.93,scattered clouds,-23.1531,-47.0578,Itupeva Plaza Hotel
665,Chimoio,MZ,69.66,few clouds,-19.1164,33.4833,Predio Livraria Ahmed
669,Huarmey,PE,70.41,broken clouds,-10.0681,-78.1522,Hotel Miramar
683,Placerville,US,72.52,clear sky,38.7296,-120.7986,Historic Cary House Hotel
686,Barabai,ID,75.0,overcast clouds,-2.5833,115.3833,HOTEL BOURAQ INDAH PERMAI
689,Independence,US,68.09,broken clouds,39.0911,-94.4155,Higher Ground Hotel
697,Praia Da Vitoria,PT,68.25,few clouds,38.7333,-27.0667,Hotel Branco I
698,Magugu,TZ,67.78,overcast clouds,-4.0167,35.7667,
702,Moshi,TZ,70.3,overcast clouds,-3.35,37.3333,Osy Grand Hotel
708,Lufilufi,WS,74.98,broken clouds,-13.8745,-171.5986,Leuaina Beach Resort and Spa
709,Westport,US,67.55,overcast clouds,41.1415,-73.3579,The Westport Inn
714,Salta,AR,72.19,clear sky,-24.7859,-65.4117,Hotel Alejandro I
721,Mahanoro,MG,68.86,broken clouds,-19.9,48.8,BUNGALOW MAHAMANINA
726,Alexandria,EG,68.94,clear sky,31.2156,29.9553,Royal Crown Hotel
727,Esfarayen,IR,65.86,clear sky,37.0765,57.5101,دفتر ازدواج 65 : سردفتر ابراهیم برغمدی
737,Santa Luzia,BR,73.54,few clouds,-19.7697,-43.8514,Pousada Chao Earth
